Model,Accuracy_Baseline,Precision_Baseline,Recall_Baseline,F1_Baseline,ROC-AUC_Baseline,Accuracy_Tuned,Precision_Tuned,Recall_Tuned,F1_Tuned,ROC-AUC_Tuned
Neural Net (MLP),0.7305,0.7409899805592941,0.7082618639222413,0.7242563765256157,0.730487299750955,0.7306428571428571,0.7563185503099666,0.6801029159519726,0.7161887559268458,0.7957226679910753
XGBoost,0.7305,0.7471246741297347,0.6963979416809606,0.7208700155359917,0.7304805242385385,0.7342142857142857,0.7538366144783755,0.6951114922813036,0.7232840038670335,0.8010401187069776
SVM,0.7247857142857143,0.7402537838251032,0.6921097770154374,0.7153726822782005,0.7247670529851602,0.7247857142857143,0.7402537838251032,0.6921097770154374,0.7153726822782005,0.7827957454026924
Logistic Regression,0.7142142857142857,0.7318470351447592,0.6756718124642653,0.7026384243775549,0.714192274021967,0.7141428571428572,0.731733746130031,0.6756718124642653,0.7025862068965517,0.778151968376153
Logistic Regression,0.7142142857142857,0.7318470351447592,0.6756718124642653,0.7026384243775549,0.714192274021967,0.7141428571428572,0.731733746130031,0.6756718124642653,0.7025862068965517,0.778151968376153
Logistic Regression,0.7142142857142857,0.7318470351447592,0.6756718124642653,0.7026384243775549,0.714192274021967,0.7141428571428572,0.731733746130031,0.6756718124642653,0.7025862068965517,0.778151968376153
Logistic Regression,0.7142142857142857,0.7318470351447592,0.6756718124642653,0.7026384243775549,0.714192274021967,0.7141428571428572,0.731733746130031,0.6756718124642653,0.7025862068965517,0.778151968376153
Logistic Regression,0.7142142857142857,0.7318470351447592,0.6756718124642653,0.7026384243775549,0.714192274021967,0.7141428571428572,0.731733746130031,0.6756718124642653,0.7025862068965517,0.778151968376153
Random Forest,0.7096428571428571,0.7133498325811617,0.7004002287021155,0.706815723043635,0.7096375786571686,0.7308571428571429,0.7570063694267516,0.6795311606632362,0.7161795721602893,0.7978703421617444
Random Forest,0.7096428571428571,0.7133498325811617,0.7004002287021155,0.706815723043635,0.7096375786571686,0.7308571428571429,0.7570063694267516,0.6795311606632362,0.7161795721602893,0.7978703421617444
Random Forest,0.7096428571428571,0.7133498325811617,0.7004002287021155,0.706815723043635,0.7096375786571686,0.7308571428571429,0.7570063694267516,0.6795311606632362,0.7161795721602893,0.7978703421617444
KNN,0.6455,0.6516032811334824,0.6244997141223556,0.6377636668856288,0.6454880066899613,0.6561428571428571,0.6638630219285071,0.631789594053745,0.6474293247400029,0.7015534739766446
KNN,0.6455,0.6516032811334824,0.6244997141223556,0.6377636668856288,0.6454880066899613,0.6561428571428571,0.6638630219285071,0.631789594053745,0.6474293247400029,0.7015534739766446
KNN,0.6455,0.6516032811334824,0.6244997141223556,0.6377636668856288,0.6454880066899613,0.6561428571428571,0.6638630219285071,0.631789594053745,0.6474293247400029,0.7015534739766446
KNN,0.6455,0.6516032811334824,0.6244997141223556,0.6377636668856288,0.6454880066899613,0.6561428571428571,0.6638630219285071,0.631789594053745,0.6474293247400029,0.7015534739766446
Decision Tree,0.6370714285714286,0.6424639190596637,0.6172098341909663,0.6295837282204564,0.6370600855706402,0.7247142857142858,0.7316425833087585,0.70926243567753,0.7202787051821745,0.7796647443803245
Decision Tree,0.6370714285714286,0.6424639190596637,0.6172098341909663,0.6295837282204564,0.6370600855706402,0.7247142857142858,0.7316425833087585,0.70926243567753,0.7202787051821745,0.7796647443803245
Decision Tree,0.6370714285714286,0.6424639190596637,0.6172098341909663,0.6295837282204564,0.6370600855706402,0.7247142857142858,0.7316425833087585,0.70926243567753,0.7202787051821745,0.7796647443803245
